Datum	id_time	ones	time_cat
2020-06-14	164	1	3: Juni - September
2020-06-15	165	1	3: Juni - September
2020-06-16	166	1	3: Juni - September
2020-06-17	167	1	3: Juni - September
2020-06-18	168	1	3: Juni - September
2020-06-19	169	1	3: Juni - September
2020-06-20	170	1	3: Juni - September
2020-06-21	171	1	3: Juni - September
2020-06-22	172	1	3: Juni - September
2020-06-23	173	1	3: Juni - September
2020-06-24	174	1	3: Juni - September
2020-06-25	175	1	3: Juni - September
2020-06-26	176	1	3: Juni - September
2020-06-27	177	1	3: Juni - September
2020-06-28	178	1	3: Juni - September
2020-06-29	179	1	3: Juni - September
2020-06-30	180	1	3: Juni - September
2020-07-01	181	1	3: Juni - September
2020-07-02	182	1	3: Juni - September
2020-07-03	183	1	3: Juni - September
2020-07-04	184	1	3: Juni - September
2020-07-05	185	1	3: Juni - September
2020-07-06	186	1	3: Juni - September
2020-07-07	187	1	3: Juni - September
2020-07-08	188	1	3: Juni - September
2020-07-09	189	1	3: Juni - September
2020-07-10	190	1	3: Juni - September
2020-07-11	191	1	3: Juni - September
2020-07-12	192	1	3: Juni - September
2020-07-13	193	1	3: Juni - September
2020-07-14	194	1	3: Juni - September
2020-07-15	195	1	3: Juni - September
2020-07-16	196	1	3: Juni - September
2020-07-17	197	1	3: Juni - September
2020-07-18	198	1	3: Juni - September
2020-07-19	199	1	3: Juni - September
2020-07-20	200	1	3: Juni - September
2020-07-21	201	1	3: Juni - September
2020-07-22	202	1	3: Juni - September
2020-07-23	203	1	3: Juni - September
2020-07-24	204	1	3: Juni - September
2020-07-25	205	1	3: Juni - September
2020-07-26	206	1	3: Juni - September
2020-07-27	207	1	3: Juni - September
2020-07-28	208	1	3: Juni - September
2020-07-29	209	1	3: Juni - September
2020-07-30	210	1	3: Juni - September
2020-07-31	211	1	3: Juni - September
2020-08-01	212	1	3: Juni - September
2020-08-02	213	1	3: Juni - September
2020-08-03	214	1	3: Juni - September
2020-08-04	215	1	3: Juni - September
2020-08-05	216	1	3: Juni - September
2020-08-06	217	1	3: Juni - September
2020-08-07	218	1	3: Juni - September
2020-08-08	219	1	3: Juni - September
2020-08-09	220	1	3: Juni - September
2020-08-10	221	1	3: Juni - September
2020-08-11	222	1	3: Juni - September
2020-08-12	223	1	3: Juni - September
2020-08-13	224	1	3: Juni - September
2020-08-14	225	1	3: Juni - September
2020-08-15	226	1	3: Juni - September
2020-08-16	227	1	3: Juni - September
2020-08-17	228	1	3: Juni - September
2020-08-18	229	1	3: Juni - September
2020-08-19	230	1	3: Juni - September
2020-08-20	231	1	3: Juni - September
2020-08-21	232	1	3: Juni - September
2020-08-22	233	1	3: Juni - September
2020-08-23	234	1	3: Juni - September
2020-08-24	235	1	3: Juni - September
2020-08-25	236	1	3: Juni - September
2020-08-26	237	1	3: Juni - September
2020-08-27	238	1	3: Juni - September
2020-08-28	239	1	3: Juni - September
2020-08-29	240	1	3: Juni - September
2020-08-30	241	1	3: Juni - September
2020-08-31	242	1	3: Juni - September
2020-09-01	243	1	3: Juni - September
2020-09-02	244	1	3: Juni - September
2020-09-03	245	1	3: Juni - September
2020-09-04	246	1	3: Juni - September
2020-09-05	247	1	3: Juni - September
2020-09-06	248	1	3: Juni - September
2020-09-07	249	1	3: Juni - September
2020-09-08	250	1	3: Juni - September
2020-09-09	251	1	3: Juni - September
2020-09-10	252	1	3: Juni - September
2020-09-11	253	1	3: Juni - September
2020-09-12	254	1	3: Juni - September
2020-09-13	255	1	3: Juni - September
2020-09-14	256	1	3: Juni - September
2020-09-15	257	1	3: Juni - September
2020-09-16	258	1	3: Juni - September
2020-09-17	259	1	3: Juni - September
2020-09-18	260	1	3: Juni - September
2020-09-19	261	1	3: Juni - September
2020-09-20	262	1	3: Juni - September
2020-09-21	263	1	3: Juni - September
2020-09-22	264	1	3: Juni - September
2020-09-23	265	1	3: Juni - September
2020-09-24	266	1	3: Juni - September
2020-09-25	267	1	3: Juni - September
2020-09-26	268	1	3: Juni - September
2020-09-27	269	1	3: Juni - September
2020-09-28	270	1	3: Juni - September
2020-09-29	271	1	3: Juni - September
2020-09-30	272	1	3: Juni - September
2020-10-01	273	1	4: Oktober - vor 4 Wochen
2020-10-02	274	1	4: Oktober - vor 4 Wochen
2020-10-03	275	1	4: Oktober - vor 4 Wochen
2020-10-04	276	1	4: Oktober - vor 4 Wochen
2020-10-05	277	1	4: Oktober - vor 4 Wochen
2020-10-06	278	1	4: Oktober - vor 4 Wochen
2020-10-07	279	1	4: Oktober - vor 4 Wochen
2020-10-08	280	1	4: Oktober - vor 4 Wochen
2020-10-09	281	1	4: Oktober - vor 4 Wochen
2020-10-10	282	1	4: Oktober - vor 4 Wochen
2020-10-11	283	1	4: Oktober - vor 4 Wochen
2020-10-12	284	1	4: Oktober - vor 4 Wochen
2020-10-13	285	1	4: Oktober - vor 4 Wochen
2020-10-14	286	1	4: Oktober - vor 4 Wochen
2020-10-15	287	1	4: Oktober - vor 4 Wochen
2020-10-16	288	1	4: Oktober - vor 4 Wochen
2020-10-17	289	1	4: Oktober - vor 4 Wochen
2020-10-18	290	1	4: Oktober - vor 4 Wochen
2020-10-19	291	1	4: Oktober - vor 4 Wochen
2020-10-20	292	1	4: Oktober - vor 4 Wochen
2020-10-21	293	1	4: Oktober - vor 4 Wochen
2020-10-22	294	1	4: Oktober - vor 4 Wochen
2020-10-23	295	1	4: Oktober - vor 4 Wochen
2020-10-24	296	1	4: Oktober - vor 4 Wochen
2020-10-25	297	1	4: Oktober - vor 4 Wochen
2020-10-26	298	1	4: Oktober - vor 4 Wochen
2020-10-27	299	1	4: Oktober - vor 4 Wochen
2020-10-28	300	1	4: Oktober - vor 4 Wochen
2020-10-29	301	1	4: Oktober - vor 4 Wochen
2020-10-30	302	1	4: Oktober - vor 4 Wochen
2020-10-31	303	1	4: Oktober - vor 4 Wochen
2020-11-01	304	1	4: Oktober - vor 4 Wochen
2020-11-02	305	1	4: Oktober - vor 4 Wochen
2020-11-03	306	1	4: Oktober - vor 4 Wochen
2020-11-04	307	1	4: Oktober - vor 4 Wochen
2020-11-05	308	1	4: Oktober - vor 4 Wochen
2020-11-06	309	1	4: Oktober - vor 4 Wochen
2020-11-07	310	1	4: Oktober - vor 4 Wochen
2020-11-08	311	1	4: Oktober - vor 4 Wochen
2020-11-09	312	1	4: Oktober - vor 4 Wochen
2020-11-10	313	1	4: Oktober - vor 4 Wochen
2020-11-11	314	1	4: Oktober - vor 4 Wochen
2020-11-12	315	1	4: Oktober - vor 4 Wochen
2020-11-13	316	1	4: Oktober - vor 4 Wochen
2020-11-14	317	1	4: Oktober - vor 4 Wochen
2020-11-15	318	1	4: Oktober - vor 4 Wochen
2020-11-16	319	1	4: Oktober - vor 4 Wochen
2020-11-17	320	1	4: Oktober - vor 4 Wochen
2020-11-18	321	1	4: Oktober - vor 4 Wochen
2020-11-19	322	1	4: Oktober - vor 4 Wochen
2020-11-20	323	1	4: Oktober - vor 4 Wochen
2020-11-21	324	1	4: Oktober - vor 4 Wochen
2020-11-22	325	1	4: Oktober - vor 4 Wochen
2020-11-23	326	1	4: Oktober - vor 4 Wochen
2020-11-24	327	1	4: Oktober - vor 4 Wochen
2020-11-25	328	1	4: Oktober - vor 4 Wochen
2020-11-26	329	1	4: Oktober - vor 4 Wochen
2020-11-27	330	1	4: Oktober - vor 4 Wochen
2020-11-28	331	1	4: Oktober - vor 4 Wochen
2020-11-29	332	1	4: Oktober - vor 4 Wochen
2020-11-30	333	1	4: Oktober - vor 4 Wochen
2020-12-01	334	1	4: Oktober - vor 4 Wochen
2020-12-02	335	1	4: Oktober - vor 4 Wochen
2020-12-03	336	1	4: Oktober - vor 4 Wochen
2020-12-04	337	1	4: Oktober - vor 4 Wochen
2020-12-05	338	1	4: Oktober - vor 4 Wochen
2020-12-06	339	1	4: Oktober - vor 4 Wochen
2020-12-07	340	1	4: Oktober - vor 4 Wochen
2020-12-08	341	1	4: Oktober - vor 4 Wochen
2020-12-09	342	1	4: Oktober - vor 4 Wochen
2020-12-10	343	1	4: Oktober - vor 4 Wochen
2020-12-11	344	1	4: Oktober - vor 4 Wochen
2020-12-12	345	1	4: Oktober - vor 4 Wochen
2020-12-13	346	1	4: Oktober - vor 4 Wochen
2020-12-14	347	1	4: Oktober - vor 4 Wochen
2020-12-15	348	1	4: Oktober - vor 4 Wochen
2020-12-16	349	1	4: Oktober - vor 4 Wochen
2020-12-17	350	1	4: Oktober - vor 4 Wochen
2020-12-18	351	1	4: Oktober - vor 4 Wochen
2020-12-19	352	1	4: Oktober - vor 4 Wochen
2020-12-20	353	1	4: Oktober - vor 4 Wochen
2020-12-21	354	1	4: Oktober - vor 4 Wochen
2020-12-22	355	1	4: Oktober - vor 4 Wochen
2020-12-23	356	1	4: Oktober - vor 4 Wochen
2020-12-24	357	1	4: Oktober - vor 4 Wochen
2020-12-25	358	1	4: Oktober - vor 4 Wochen
2020-12-26	359	1	4: Oktober - vor 4 Wochen
2020-12-27	360	1	4: Oktober - vor 4 Wochen
2020-12-28	361	1	4: Oktober - vor 4 Wochen
2020-12-29	362	1	4: Oktober - vor 4 Wochen
2020-12-30	363	1	4: Oktober - vor 4 Wochen
2020-12-31	364	1	4: Oktober - vor 4 Wochen
2021-01-01	365	1	5: vor 4 Wochen - vor 1er Woche
2021-01-02	366	1	5: vor 4 Wochen - vor 1er Woche
2021-01-03	367	1	5: vor 4 Wochen - vor 1er Woche
2021-01-04	368	1	5: vor 4 Wochen - vor 1er Woche
2021-01-05	369	1	5: vor 4 Wochen - vor 1er Woche
2021-01-06	370	1	5: vor 4 Wochen - vor 1er Woche
2021-01-07	371	1	5: vor 4 Wochen - vor 1er Woche
2021-01-08	372	1	5: vor 4 Wochen - vor 1er Woche
2021-01-09	373	1	5: vor 4 Wochen - vor 1er Woche
2021-01-10	374	1	5: vor 4 Wochen - vor 1er Woche
2021-01-11	375	1	5: vor 4 Wochen - vor 1er Woche
2021-01-12	376	1	5: vor 4 Wochen - vor 1er Woche
2021-01-13	377	1	5: vor 4 Wochen - vor 1er Woche
2021-01-14	378	1	5: vor 4 Wochen - vor 1er Woche
2021-01-15	379	1	5: vor 4 Wochen - vor 1er Woche
2021-01-16	380	1	5: vor 4 Wochen - vor 1er Woche
2021-01-17	381	1	5: vor 4 Wochen - vor 1er Woche
2021-01-18	382	1	5: vor 4 Wochen - vor 1er Woche
2021-01-19	383	1	5: vor 4 Wochen - vor 1er Woche
2021-01-20	384	1	5: vor 4 Wochen - vor 1er Woche
2021-01-21	385	1	5: vor 4 Wochen - vor 1er Woche
2021-01-22	386	1	6: letze Woche
2021-01-23	387	1	6: letze Woche
2021-01-24	388	1	6: letze Woche
2021-01-25	389	1	6: letze Woche
2021-01-26	390	1	6: letze Woche
2021-01-27	391	1	6: letze Woche
2021-01-28	392	1	6: letze Woche
